Asteroid_Name,Status,Exclusion_Reason,Taxonomic_Type,Density_Source,Library_Used,RMSE_Fit,Chi2_Reduced,Band_I_Depth,Band_II_Depth,BAR_Approx,Space_Weathering_Slope_S,Space_Weathering_Slope_Err,Grain_Density_gcm3,Grain_Density_Uncertainty,Bulk_Density_gcm3,Bulk_Density_Uncertainty,Macroporosity,Macroporosity_Uncertainty,Macroporosity_Status,Abund_Diopside_HighCa,Err_Diopside_HighCa,P16_Diopside_HighCa,P84_Diopside_HighCa,Abund_Dolomite_Carbonate,Err_Dolomite_Carbonate,P16_Dolomite_Carbonate,P84_Dolomite_Carbonate,Abund_Magnetite_Fe3O4,Err_Magnetite_Fe3O4,P16_Magnetite_Fe3O4,P84_Magnetite_Fe3O4,Abund_Plagioclase_Anorthite,Err_Plagioclase_Anorthite,P16_Plagioclase_Anorthite,P84_Plagioclase_Anorthite,Abund_Clinopyroxene_Augite,Err_Clinopyroxene_Augite,P16_Clinopyroxene_Augite,P84_Clinopyroxene_Augite,Abund_Olivine_Fo90_Mg,Err_Olivine_Fo90_Mg,P16_Olivine_Fo90_Mg,P84_Olivine_Fo90_Mg,Abund_Pigeonite_LowCa,Err_Pigeonite_LowCa,P16_Pigeonite_LowCa,P84_Pigeonite_LowCa,Abund_Orthopyroxene_En86,Err_Orthopyroxene_En86,P16_Orthopyroxene_En86,P84_Orthopyroxene_En86,Abund_Mg_Al_Spinel,Err_Mg_Al_Spinel,P16_Mg_Al_Spinel,P84_Mg_Al_Spinel,Abund_Troilite_FeS,Err_Troilite_FeS,P16_Troilite_FeS,P84_Troilite_FeS,Abund_Olivine_Fa50_Fe,Err_Olivine_Fa50_Fe,P16_Olivine_Fa50_Fe,P84_Olivine_Fa50_Fe,Abund_Iron Powder,Err_Iron Powder,P16_Iron Powder,P84_Iron Powder,Abund_Water_Ice_H2O,Err_Water_Ice_H2O,P16_Water_Ice_H2O,P84_Water_Ice_H2O,Abund_Phyllosilicate_Serpentine,Err_Phyllosilicate_Serpentine,P16_Phyllosilicate_Serpentine,P84_Phyllosilicate_Serpentine,Abund_Carbonaceous_Matrix,Err_Carbonaceous_Matrix,P16_Carbonaceous_Matrix,P84_Carbonaceous_Matrix,Abund_Saponite_Smectite,Err_Saponite_Smectite,P16_Saponite_Smectite,P84_Saponite_Smectite,Abund_Magnesite_Carbonate,Err_Magnesite_Carbonate,P16_Magnesite_Carbonate,P84_Magnesite_Carbonate,Abund_Epsomite_Mg_Sulfate,Err_Epsomite_Mg_Sulfate,P16_Epsomite_Mg_Sulfate,P84_Epsomite_Mg_Sulfate,Abund_Cronstedtite_FePhyllosilicate,Err_Cronstedtite_FePhyllosilicate,P16_Cronstedtite_FePhyllosilicate,P84_Cronstedtite_FePhyllosilicate
1943 Anteros (1973 EC),Analyzed,None,L,SiMDA Substring Match,Stony/Metallic,0.0007735901114383696,1.0715916369404102,0.0964870980969883,0.045029304434369255,0.4666873118010664,-0.0010784950341497992,0.00023697703400354296,4.368010005822851,0.02739577993309464,3.0,0.08,0.3131883864732914,0.018445684200330454,Valid,0.0,0.0024971323568773523,0.0,0.0,0.01240930254432349,0.008822442679269519,0.0,0.02139575597048415,0.2565506844202458,0.007692240989178586,0.24939643866952782,0.26367863524623075,0.0,0.0,0.0,0.0,0.0,0.0014822079446188893,0.0,0.0,0.0,0.000659026393838964,0.0,0.0,0.1937965995622515,0.009028135856797738,0.19282148772732502,0.21035586292120173,0.25013512766899126,0.005479349646510098,0.24080502554281147,0.25192776727091193,0.017817251128362677,0.01301346852704661,0.0,0.028334712707660456,0.0,0.0020848991178459095,0.0,0.0,0.0,0.003240269415217825,0.0,0.00528053683407655,0.26929103467582527,0.005660903753623549,0.2595909453660805,0.27002962542607334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35396 (1997 XF11),Analyzed,None,Xk,NEOWISE Diameter-Porosity Model,Primitive/Aqueous (Auto-AIC),0.0006045662101900052,1.0903386242336797,0.08633928571428551,0.038033085445439374,0.44050729781687903,-0.0006670923513944811,0.00012996033445199868,2.355603117589053,0.004243505215659297,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0015755396039155497,0.0,0.0,0.21360621891141057,0.0024809158225169944,0.2107357394615923,0.2161663822067349,0.21281282761925374,0.0030429130028944438,0.20984129909065297,0.21590667432862146,0.19411417027264977,0.002896385489545071,0.19074148794376744,0.19612451077833112,0.20161188105626873,0.002812811032306248,0.19906178495612148,0.20420623747528782,0.17785490214041724,0.002850042104258225,0.17538922157656045,0.18091902678399885
422686 (2000 AC6),Analyzed,None,Q,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0010465156198570433,1.0161506689907889,0.22838023335621138,0.0,0.0,-0.0011168682117914017,0.00033110613743767947,4.431619950760977,0.027846182905926147,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638003025778878,0.009815512211984576,0.2553155786748129,0.2727351648105247,0.0,0.0007864424714518015,0.0,0.0,0.0,0.0020333451655710454,0.0,0.0,0.0,0.0008154535161689203,0.0,0.0,0.19753463854984588,0.012478910693990696,0.19228922418088934,0.21772741015081537,0.2498983048373698,0.00681062878547782,0.23886985701755398,0.25280654124399876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01081543822063523,0.007150849040814233,0.005636897301921257,0.018722903082695457,0.2779513158142613,0.007093557042039563,0.2649513780551629,0.27879330081637094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175706 (1996 FG3),Analyzed,None,C,SiMDA Carry Compilation (C_BD),Primitive/Aqueous,0.0004764060583213401,0.8010281852534944,0.0,0.04750392247801949,,-0.0006009025026372238,0.0001384718184830159,2.3584441888782046,0.00409159763903601,1.36,0.65,0.42334866077671107,0.255619581927102,Valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2104336760640362,0.0027750694822280134,0.20750237289995738,0.21293354408921472,0.21103677293888431,0.0029091564030094873,0.20855063951927047,0.21390967026323762,0.1955220891320917,0.00282768948744291,0.19277499961981998,0.19817286113780408,0.20205896716593272,0.002742643007649206,0.19965519083917302,0.2052439537776697,0.1809484946990551,0.0028281727919112543,0.17841359996341263,0.18396035621597714
85990 (1999 JV6),Excluded,"Featureless spectrum lacking diagnostic absorption bands (Band I depth = 0.0000 < 0.0150, Band II depth = 0.0000 < 0.0150)",Xk,NEOWISE Diameter-Porosity Model,N/A,,,,,,,,,,2.8,0.4,,,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16834 (1997 WU22),Analyzed,None,S,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0007409739372879994,1.014747055173196,0.11570133234641,0.07319003450568251,0.632577283436559,-0.0011305297050884823,0.0002586789993576519,4.438798661093272,0.02499767095604381,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.006087271711041367,0.0030331358725628377,0.0,0.0,0.0,0.004622649437595968,0.0,0.005958652164167037,0.2643630768000238,0.008252802611809001,0.2525125451788122,0.2695267034523313,0.0,0.00041944619381543535,0.0,0.0,0.0,0.0016603980624547079,0.0,0.0,0.0,0.0,0.0,0.0,0.18511419590146014,0.011041053656910845,0.1830154839242313,0.2042001409654625,0.2593457284410504,0.006037176746791603,0.24790514085066967,0.25937895743215883,0.0,0.009387521364851315,0.0,0.01886907514884745,0.0,0.0,0.0,0.0,0.0,0.003586148285763515,0.0,0.006250032089092239,0.28508972714642433,0.006810777407403699,0.2719225694852177,0.2852334782617237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175706 (1996 FG3),Analyzed,None,C,SiMDA Carry Compilation (C_BD),Primitive/Aqueous,0.0004465090497175614,0.8094794551563044,0.0,0.03787645439821963,,-0.0005577047040576479,0.000150782164497537,2.3597440252349404,0.004318121660579964,1.36,0.65,0.4236663021682634,0.22653631635641408,Valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20914495522676385,0.002928708175714075,0.2061364028632663,0.2120655560372966,0.2098528477659275,0.0025444185295872956,0.2080495228290734,0.21316898515403726,0.19690785412070422,0.0029849829235084977,0.19334814795061162,0.19914024362921015,0.20227431021064549,0.0029077719652187404,0.19961492697459818,0.20534398221485958,0.18182003267595903,0.0026264558739298,0.1788885584002532,0.18397409389189673
236 Honoria (A884 HA),Analyzed,None,L,SiMDA Substring Match,Stony/Metallic,0.0006912915920154264,1.0798504740310937,0.040952515856902405,0.0038726502910378935,0.09456440489687697,-0.0010274950778749476,0.00021996974863971717,4.465496542645674,0.07220768109387256,3.22,1.58,0.27891557652125154,0.2511664575246651,Valid,0.0,0.0,0.0,0.0,0.0,0.020755523244997,0.011062036102311913,0.05479905492318135,0.25152917701912697,0.01472792467656657,0.22951209821089227,0.2589463964648641,0.0,0.0,0.0,0.0,0.0,0.0016539284184542197,0.0,0.0,0.0,0.0,0.0,0.0,0.16503442846583077,0.019404008620808537,0.1709827448518028,0.20785888157735372,0.28126489919043196,0.01569876842758792,0.23755521134343938,0.26649169640833975,0.0,0.01167701225200206,0.0,0.022909061219429632,0.0,0.0010004974270215424,0.0,0.0,0.0,0.002412218274350115,0.0,0.0,0.3021714953246102,0.016407905788681346,0.2540871291858041,0.28365675076501135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7341 (1991 VK),Analyzed,None,Sq,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0007081507201216816,1.089924709420602,0.1918274075140347,0.03184452028061591,0.16600610253405035,-0.0011141885646756343,0.0002629354472689306,4.447935793553955,0.07361604929574685,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.0010891559637519759,0.0,0.0,0.0,0.02311947703310093,0.0,0.0600541914928828,0.246577754692016,0.015168490875213731,0.22985257682640314,0.26017859514521363,0.0,0.0,0.0,0.0,0.0,0.0017148140645575724,0.0,0.0,0.0,0.0004910695290711219,0.0,0.0,0.17291793567052424,0.018110785023058653,0.17273975526828378,0.2084184422269567,0.2760990224264434,0.015061094092934295,0.2340471463941939,0.26034295812301406,0.0,0.01264362927128417,0.0,0.026946718306077727,0.0,0.004279405079402824,0.0,0.0,0.007984244801701726,0.005489643999021382,0.0,0.013796629460088139,0.29642104240931477,0.015899356059581874,0.2503905484639561,0.27854977252519575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 Pandora (A858 RB),Excluded,"Featureless spectrum lacking diagnostic absorption bands (Band I depth = 0.0056 < 0.0150, Band II depth = 0.0000 < 0.0150)",X,NEOWISE Diameter-Porosity Model,N/A,,,,,,,,,,2.8,0.4,,,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
