Mineral_Name,Density_gcm3,Density_Uncertainty,Wv_0.4,Wv_0.5,Wv_0.6,Wv_0.7,Wv_0.8,Wv_0.9,Wv_1.0,Wv_1.1,Wv_1.2,Wv_1.3,Wv_1.4,Wv_1.5,Wv_1.6,Wv_1.7,Wv_1.8,Wv_1.9,Wv_2.0,Wv_2.1,Wv_2.2,Wv_2.3,Wv_2.4,Wv_2.5
Antigorite_Fine,2.54,0.03,0.220,0.250,0.280,0.290,0.295,0.290,0.275,0.265,0.255,0.245,0.235,0.225,0.215,0.205,0.195,0.185,0.195,0.205,0.215,0.225,0.235,0.245
Antigorite_Coarse,2.54,0.03,0.080,0.100,0.120,0.130,0.135,0.125,0.110,0.105,0.100,0.095,0.090,0.085,0.080,0.075,0.070,0.065,0.075,0.080,0.085,0.090,0.095,0.100
Saponite_Fine,2.25,0.04,0.260,0.290,0.320,0.340,0.345,0.335,0.315,0.305,0.295,0.280,0.260,0.245,0.235,0.225,0.215,0.205,0.225,0.235,0.245,0.255,0.265,0.275
Saponite_Coarse,2.25,0.04,0.100,0.120,0.140,0.150,0.155,0.145,0.130,0.125,0.120,0.110,0.100,0.090,0.085,0.080,0.075,0.070,0.080,0.085,0.090,0.095,0.100,0.105
Cronstedtite,3.44,0.05,0.060,0.070,0.080,0.085,0.088,0.085,0.082,0.080,0.078,0.076,0.075,0.074,0.073,0.072,0.071,0.070,0.070,0.071,0.072,0.073,0.074,0.075
Magnetite_Fine,5.15,0.02,0.060,0.065,0.070,0.072,0.074,0.074,0.073,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.073,0.073,0.074,0.074,0.075
Magnetite_Coarse,5.15,0.02,0.025,0.028,0.030,0.031,0.032,0.032,0.032,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.033,0.033,0.034
Amorphous_Carbon,1.90,0.10,0.030,0.030,0.031,0.031,0.032,0.032,0.032,0.032,0.033,0.033,0.033,0.033,0.034,0.034,0.034,0.034,0.035,0.035,0.035,0.036,0.036,0.036
Kerogen_Type_I,1.20,0.10,0.020,0.025,0.030,0.032,0.034,0.035,0.036,0.037,0.038,0.038,0.039,0.039,0.040,0.040,0.041,0.041,0.041,0.042,0.042,0.043,0.043,0.044
Kerogen_Type_II,1.30,0.10,0.015,0.018,0.022,0.024,0.026,0.028,0.030,0.031,0.032,0.032,0.033,0.033,0.034,0.034,0.035,0.035,0.036,0.036,0.037,0.038,0.038,0.039
