Mineral_Name,Density_gcm3,Source_File,Raw_Channels,Wv_0.4000,Wv_0.4106,Wv_0.4211,Wv_0.4317,Wv_0.4422,Wv_0.4528,Wv_0.4633,Wv_0.4739,Wv_0.4844,Wv_0.4950,Wv_0.5055,Wv_0.5161,Wv_0.5266,Wv_0.5372,Wv_0.5477,Wv_0.5583,Wv_0.5688,Wv_0.5794,Wv_0.5899,Wv_0.6005,Wv_0.6111,Wv_0.6216,Wv_0.6322,Wv_0.6427,Wv_0.6533,Wv_0.6638,Wv_0.6744,Wv_0.6849,Wv_0.6955,Wv_0.7060,Wv_0.7166,Wv_0.7271,Wv_0.7377,Wv_0.7482,Wv_0.7588,Wv_0.7693,Wv_0.7799,Wv_0.7905,Wv_0.8010,Wv_0.8116,Wv_0.8221,Wv_0.8327,Wv_0.8432,Wv_0.8538,Wv_0.8643,Wv_0.8749,Wv_0.8854,Wv_0.8960,Wv_0.9065,Wv_0.9171,Wv_0.9276,Wv_0.9382,Wv_0.9487,Wv_0.9593,Wv_0.9698,Wv_0.9804,Wv_0.9910,Wv_1.0015,Wv_1.0121,Wv_1.0226,Wv_1.0332,Wv_1.0437,Wv_1.0543,Wv_1.0648,Wv_1.0754,Wv_1.0859,Wv_1.0965,Wv_1.1070,Wv_1.1176,Wv_1.1281,Wv_1.1387,Wv_1.1492,Wv_1.1598,Wv_1.1704,Wv_1.1809,Wv_1.1915,Wv_1.2020,Wv_1.2126,Wv_1.2231,Wv_1.2337,Wv_1.2442,Wv_1.2548,Wv_1.2653,Wv_1.2759,Wv_1.2864,Wv_1.2970,Wv_1.3075,Wv_1.3181,Wv_1.3286,Wv_1.3392,Wv_1.3497,Wv_1.3603,Wv_1.3709,Wv_1.3814,Wv_1.3920,Wv_1.4025,Wv_1.4131,Wv_1.4236,Wv_1.4342,Wv_1.4447,Wv_1.4553,Wv_1.4658,Wv_1.4764,Wv_1.4869,Wv_1.4975,Wv_1.5080,Wv_1.5186,Wv_1.5291,Wv_1.5397,Wv_1.5503,Wv_1.5608,Wv_1.5714,Wv_1.5819,Wv_1.5925,Wv_1.6030,Wv_1.6136,Wv_1.6241,Wv_1.6347,Wv_1.6452,Wv_1.6558,Wv_1.6663,Wv_1.6769,Wv_1.6874,Wv_1.6980,Wv_1.7085,Wv_1.7191,Wv_1.7296,Wv_1.7402,Wv_1.7508,Wv_1.7613,Wv_1.7719,Wv_1.7824,Wv_1.7930,Wv_1.8035,Wv_1.8141,Wv_1.8246,Wv_1.8352,Wv_1.8457,Wv_1.8563,Wv_1.8668,Wv_1.8774,Wv_1.8879,Wv_1.8985,Wv_1.9090,Wv_1.9196,Wv_1.9302,Wv_1.9407,Wv_1.9513,Wv_1.9618,Wv_1.9724,Wv_1.9829,Wv_1.9935,Wv_2.0040,Wv_2.0146,Wv_2.0251,Wv_2.0357,Wv_2.0462,Wv_2.0568,Wv_2.0673,Wv_2.0779,Wv_2.0884,Wv_2.0990,Wv_2.1095,Wv_2.1201,Wv_2.1307,Wv_2.1412,Wv_2.1518,Wv_2.1623,Wv_2.1729,Wv_2.1834,Wv_2.1940,Wv_2.2045,Wv_2.2151,Wv_2.2256,Wv_2.2362,Wv_2.2467,Wv_2.2573,Wv_2.2678,Wv_2.2784,Wv_2.2889,Wv_2.2995,Wv_2.3101,Wv_2.3206,Wv_2.3312,Wv_2.3417,Wv_2.3523,Wv_2.3628,Wv_2.3734,Wv_2.3839,Wv_2.3945,Wv_2.4050,Wv_2.4156,Wv_2.4261,Wv_2.4367,Wv_2.4472,Wv_2.4578,Wv_2.4683,Wv_2.4789,Wv_2.4894,Wv_2.5000
Forsterite_Fo90,3.22,splib07b_Forsterite_REE_AZ-01_ASU_ASDFRa_AREF.txt,2151,0.519085,0.546076,0.558845,0.565187,0.573423,0.573847,0.590525,0.605319,0.621421,0.627263,0.658705,0.672971,0.683526,0.698616,0.713307,0.720769,0.719069,0.714156,0.707358,0.699064,0.688665,0.67656,0.667823,0.667265,0.67006,0.672118,0.670378,0.663967,0.65308,0.640661,0.626557,0.610862,0.594121,0.575955,0.557425,0.539406,0.522245,0.506455,0.492547,0.480535,0.469987,0.460718,0.452793,0.445947,0.439915,0.433831,0.427852,0.421122,0.413521,0.404653,0.394355,0.3835,0.371665,0.359828,0.348288,0.337116,0.327412,0.318886,0.311003,0.304624,0.300603,0.298175,0.297073,0.297795,0.300283,0.304754,0.31036,0.316491,0.323159,0.329774,0.336031,0.341477,0.346509,0.350822,0.354725,0.358052,0.361378,0.364804,0.368042,0.371374,0.375148,0.379189,0.383517,0.388139,0.393385,0.399497,0.405796,0.412805,0.420616,0.42886,0.437482,0.447033,0.457091,0.467571,0.478625,0.489829,0.501338,0.512886,0.525313,0.538202,0.550505,0.563117,0.575769,0.588532,0.601001,0.613597,0.626385,0.638404,0.650765,0.662561,0.674063,0.685042,0.695708,0.706451,0.716054,0.72496,0.733631,0.741887,0.749795,0.757012,0.764067,0.770253,0.776196,0.7815,0.786605,0.791214,0.795408,0.798512,0.801151,0.804124,0.807471,0.810149,0.811831,0.813964,0.816708,0.817702,0.819579,0.821806,0.822826,0.824569,0.825419,0.824787,0.825062,0.825134,0.825181,0.825677,0.825991,0.82692,0.827468,0.827697,0.828876,0.829618,0.831194,0.832072,0.834193,0.836259,0.838356,0.839979,0.841277,0.842616,0.843693,0.844707,0.845603,0.84564,0.846663,0.84609,0.845646,0.845833,0.845064,0.843452,0.842395,0.842343,0.840736,0.840632,0.839843,0.840409,0.841706,0.840761,0.840336,0.840262,0.840853,0.84081,0.841445,0.840983,0.841836,0.842353,0.842618,0.840737,0.839862,0.840297,0.839097,0.839205,0.838968,0.836707,0.834848,0.833586,0.832645,0.831693,0.831834,0.833851
Olivine_Fo91,3.31,splib07b_Olivine_GDS71.a_Fo91_65um_NIC4cb_RREF.txt,3322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971304,0.44237,0.452057,0.462995,0.474598,0.486682,0.499502,0.512011,0.52344,0.53504,0.545392,0.554491,0.56232,0.570278,0.576709,0.581658,0.586083,0.590877,0.594239,0.596823,0.59887,0.601504,0.603802,0.604991,0.606023,0.60692,0.608322,0.608912,0.607668,0.60739,0.608067,0.609204,0.609472,0.609502,0.609772,0.610834,0.611612,0.612644,0.612086,0.61009,0.60982,0.61035,0.610219,0.610987,0.610997,0.608133,0.605438,0.603286,0.601251,0.596711,0.601043,0.603778,0.601155,0.600135,0.598631,0.598983,0.598855,0.596874,0.595962,0.594889,0.594061,0.593086,0.595486,0.594583,0.590766,0.556495,0.338905,0.335748,0.361869,0.378832,0.377884,0.385094,0.390632,0.394575,0.397954,0.401936,0.407136,0.41348,0.420669,0.427051,0.433164,0.438093,0.44232,0.446507,0.451173,0.455701,0.459581,0.462213,0.464989,0.467598,0.469295,0.470204,0.469864,0.470783,0.469631,0.476376,0.478691,0.47896,0.483554,0.485638,0.486462,0.486471,0.486264,0.485415,0.483772,0.481919,0.479914,0.477273,0.474539,0.473376,0.473098,0.472252,0.470215,0.465436,0.459495,0.460476,0.46101,0.458341,0.454679,0.450823,0.44588,0.432514,0.431445,0.427505,0.426793,0.422787,0.417722,0.412894,0.407978,0.402493,0.396465,0.390162
Fayalite_Fo10,4.392,USGS_RELAB_Reference_Lab_Spectrum (105ch),105,0.218678,0.218888,0.219015,0.219096,0.219079,0.218999,0.218852,0.218582,0.218238,0.217779,0.217226,0.216551,0.21577,0.214857,0.213828,0.212659,0.211363,0.209921,0.208345,0.206616,0.204748,0.202724,0.200559,0.198237,0.195775,0.19316,0.190408,0.187511,0.184486,0.181326,0.178052,0.174658,0.171168,0.167578,0.163914,0.160176,0.15639,0.152558,0.14871,0.144847,0.141004,0.137181,0.133416,0.129708,0.126097,0.122581,0.119205,0.115961,0.112897,0.110002,0.107329,0.104856,0.102644,0.10066,0.098976,0.097535,0.096431,0.095569,0.095184,0.094974,0.095061,0.095586,0.096337,0.097526,0.098977,0.100809,0.10292,0.105384,0.108122,0.111187,0.11451,0.118129,0.121984,0.126099,0.130421,0.134966,0.139685,0.144587,0.149626,0.154807,0.160087,0.165469,0.170911,0.176415,0.181942,0.187493,0.193031,0.198558,0.20404,0.209479,0.214845,0.22014,0.225337,0.230439,0.235425,0.240296,0.245035,0.249647,0.254114,0.258444,0.262624,0.266661,0.270544,0.274283,0.27787,0.281313,0.284607,0.287762,0.290775,0.293655,0.296401,0.299022,0.301518,0.303899,0.306166,0.308327,0.310385,0.312348,0.31422,0.316006,0.317712,0.319343,0.320903,0.322399,0.323834,0.325212,0.326539,0.327818,0.329054,0.330249,0.331408,0.332533,0.333628,0.334695,0.335738,0.336757,0.337757,0.338738,0.339704,0.340654,0.341592,0.342517,0.343433,0.344339,0.345238,0.346129,0.347014,0.347894,0.348768,0.349639,0.350506,0.351369,0.35223,0.353089,0.353945,0.354799,0.355652,0.356504,0.357355,0.358204,0.359053,0.359901,0.360748,0.361595,0.362442,0.363288,0.364133,0.364979,0.365824,0.366669,0.367514,0.368359,0.369204,0.370048,0.370893,0.371738,0.372582,0.373426,0.374271,0.375115,0.375959,0.376804,0.377648,0.378492,0.379337,0.380181,0.381025,0.381869,0.382714,0.383558,0.384402,0.385246,0.38609,0.386935,0.387779,0.388623,0.389467,0.390312,0.391156,0.392
Enstatite_En85,3.198,splib07b_Enstatite_NMNH128288_BECKc_AREF.txt,3850,0.364321,0.373698,0.380312,0.388615,0.401246,0.413119,0.429121,0.446218,0.460714,0.470351,0.476052,0.478416,0.481093,0.482526,0.482767,0.481403,0.482015,0.481659,0.482002,0.481735,0.483218,0.484796,0.487536,0.492217,0.493823,0.49765,0.501722,0.505542,0.508608,0.510207,0.509631,0.505259,0.50012,0.490597,0.479499,0.44637,0.396996,0.362641,0.354637,0.354512,0.361186,0.369424,0.380701,0.395148,0.411886,0.427002,0.441041,0.457448,0.470474,0.484799,0.495462,0.506043,0.514839,0.521204,0.5243,0.528659,0.533806,0.537397,0.539088,0.541336,0.543432,0.545722,0.547734,0.548353,0.550819,0.550873,0.552316,0.555409,0.55626,0.554845,0.559195,0.55909,0.559868,0.560786,0.561106,0.561185,0.561319,0.562541,0.562951,0.562832,0.559531,0.55767,0.553695,0.540294,0.544424,0.547051,0.550797,0.550356,0.549745,0.546608,0.543806,0.541709,0.540319,0.539173,0.537122,0.53028,0.531054,0.527169,0.520077,0.520493,0.514091,0.511636,0.507652,0.50413,0.501037,0.495711,0.493568,0.489845,0.486082,0.484723,0.478494,0.473905,0.475681,0.473485,0.470262,0.467031,0.464253,0.463459,0.463015,0.456911,0.460651,0.460854,0.45527,0.456226,0.45621,0.458027,0.457867,0.457892,0.458806,0.460832,0.459635,0.457485,0.454884,0.455382,0.459503,0.467094,0.470653,0.477954,0.479918,0.484141,0.488769,0.495327,0.498263,0.503671,0.51092,0.517206,0.52201,0.527872,0.528111,0.535344,0.53748,0.545578,0.550217,0.555134,0.559323,0.563501,0.565942,0.568376,0.569454,0.572926,0.572898,0.571918,0.574191,0.573129,0.574761,0.571926,0.567987,0.564733,0.560104,0.554711,0.54138,0.53327,0.536586,0.547385,0.560857,0.565094,0.565756,0.559497,0.556636,0.561295,0.562067,0.560432,0.559495,0.558835,0.557841,0.556255,0.553925,0.551265,0.548983,0.547641,0.547014,0.546614,0.546076,0.545754,0.546268,0.548009,0.549861,0.550101,0.547484,0.544273
Bronzite_Pyroxene,3.3,splib07b_Bronzite_HS9.2B_ASDFRc_AREF.txt,2151,0.312077,0.322356,0.331999,0.344733,0.36069,0.373092,0.382551,0.391089,0.402206,0.41653,0.431451,0.45688,0.478843,0.497557,0.510611,0.52539,0.535972,0.543346,0.549314,0.554755,0.56005,0.565167,0.569837,0.574062,0.577982,0.582433,0.588203,0.595732,0.599903,0.605182,0.609906,0.61147,0.608904,0.600538,0.586377,0.566564,0.541818,0.513694,0.483722,0.452948,0.423028,0.395441,0.370819,0.349069,0.331007,0.316465,0.305219,0.297553,0.293421,0.292822,0.29608,0.302711,0.312985,0.327418,0.345196,0.366124,0.389293,0.414325,0.439164,0.464007,0.487796,0.509993,0.530657,0.550116,0.567122,0.581977,0.595235,0.607716,0.618525,0.627958,0.635268,0.641571,0.646818,0.651634,0.655318,0.658232,0.661203,0.664214,0.666449,0.668395,0.670681,0.672728,0.673706,0.674333,0.675503,0.675548,0.675998,0.675923,0.676054,0.675032,0.674265,0.67247,0.668556,0.660928,0.646578,0.650138,0.649293,0.645778,0.641068,0.635976,0.630088,0.623308,0.615923,0.607941,0.599261,0.591236,0.582253,0.573229,0.564706,0.5557,0.546454,0.537584,0.528907,0.519948,0.51135,0.50255,0.494393,0.486601,0.479105,0.471988,0.464908,0.458418,0.452159,0.446569,0.441361,0.435754,0.431448,0.426707,0.422057,0.418109,0.414944,0.412673,0.410343,0.408365,0.406886,0.406457,0.405559,0.404189,0.404524,0.405622,0.406292,0.406743,0.408043,0.409064,0.411304,0.414168,0.41731,0.420694,0.424353,0.428933,0.433649,0.438362,0.44454,0.450064,0.455548,0.461514,0.467976,0.47429,0.480446,0.487089,0.493702,0.499611,0.505101,0.511629,0.516329,0.520316,0.524873,0.52969,0.53333,0.536618,0.54072,0.544104,0.546422,0.548271,0.55074,0.551404,0.553785,0.553972,0.55186,0.547128,0.544787,0.542332,0.549144,0.559321,0.563614,0.566499,0.567321,0.564542,0.562483,0.566427,0.571198,0.572243,0.572955,0.573475,0.57421,0.574463,0.574988,0.573094,0.573298,0.576582
Augite_Clinopyroxene,3.401,splib07b_Augite_WS592_Pyroxene_NIC4cc_RREF.txt,3286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820206,0.493048,0.500237,0.505531,0.512282,0.519412,0.524606,0.528993,0.534127,0.538011,0.539585,0.541371,0.542761,0.542484,0.541037,0.53944,0.53661,0.53262,0.528413,0.523461,0.517461,0.507565,0.49492,0.490856,0.486088,0.479064,0.472199,0.465876,0.459629,0.452565,0.444444,0.43679,0.42885,0.421007,0.413414,0.405931,0.400237,0.392751,0.387009,0.380722,0.376519,0.376043,0.376955,0.376722,0.378736,0.381224,0.385267,0.389548,0.394159,0.399254,0.406007,0.408256,0.414402,0.418903,0.415421,0.356294,0.195821,0.175079,0.169864,0.174603,0.179934,0.186451,0.189197,0.190995,0.195124,0.199731,0.206082,0.213234,0.219531,0.223782,0.229255,0.238189,0.248308,0.258772,0.268937,0.278295,0.287289,0.294956,0.300719,0.302352,0.304114,0.315689,0.320566,0.32565,0.335323,0.340387,0.343906,0.346785,0.349484,0.352122,0.354853,0.357563,0.359259,0.360673,0.362138,0.362998,0.36209,0.362541,0.363756,0.363022,0.361356,0.359576,0.357682,0.360216,0.356202,0.354105,0.349047,0.346049,0.343273,0.340083,0.335123,0.324787,0.310004,0.293974,0.277408,0.261982,0.247285,0.236053,0.224058,0.212942,0.205035,0.197601,0.186655,0.178718,0.17972,0.182381,0.18458,0.186006,0.190801,0.198752,0.207026,0.216075
Diopside_Cr_Rich,3.278,splib07b_Diopside_HS15.3B_Pyroxene_BECKc_AREF.txt,3832,0.336985,0.349144,0.361385,0.375632,0.389283,0.400871,0.416771,0.427521,0.435465,0.442384,0.446073,0.448881,0.448917,0.447372,0.442682,0.43869,0.432791,0.426948,0.42138,0.413835,0.406127,0.39884,0.389964,0.381104,0.372395,0.362139,0.353725,0.344393,0.336552,0.32829,0.321742,0.315154,0.308862,0.305225,0.30235,0.305998,0.31579,0.310464,0.299397,0.292108,0.287338,0.284156,0.280581,0.278297,0.274892,0.274444,0.27221,0.272867,0.269987,0.268298,0.267539,0.269452,0.269723,0.270802,0.271663,0.274633,0.275429,0.27864,0.278493,0.281023,0.281417,0.283129,0.283481,0.28804,0.290164,0.293462,0.296514,0.299496,0.303849,0.307316,0.313428,0.318111,0.321165,0.326281,0.331483,0.336474,0.34102,0.346065,0.351021,0.353863,0.359809,0.364545,0.364555,0.373937,0.377855,0.380895,0.385467,0.389426,0.396025,0.40024,0.402505,0.409321,0.410623,0.415466,0.420441,0.422139,0.428915,0.431649,0.435181,0.438226,0.442708,0.446288,0.450736,0.453741,0.457098,0.460438,0.463918,0.467697,0.470061,0.472583,0.47745,0.482086,0.484959,0.488498,0.491468,0.494231,0.497862,0.503094,0.505635,0.510385,0.512327,0.512769,0.516557,0.518065,0.519401,0.523887,0.526979,0.528354,0.530427,0.529605,0.52789,0.524863,0.526846,0.529142,0.532805,0.534303,0.536281,0.542061,0.543981,0.548945,0.551574,0.553471,0.557586,0.562999,0.560292,0.563902,0.566514,0.56643,0.567993,0.568816,0.570623,0.571275,0.572195,0.57375,0.568642,0.569177,0.569585,0.569722,0.571088,0.570987,0.568045,0.5696,0.567351,0.567952,0.568783,0.564727,0.557629,0.55331,0.552704,0.545408,0.550915,0.564564,0.568022,0.568055,0.57104,0.571214,0.566753,0.570305,0.575616,0.57907,0.581572,0.583607,0.585533,0.587698,0.590434,0.593767,0.597377,0.600932,0.604189,0.606975,0.609142,0.610911,0.61281,0.615352,0.618674,0.622573,0.626835,0.63128,0.635755,0.640042
Bytownite_Plagioclase,2.732,splib07b_Bytownite_HS105.3B_Plagio_ASDFRb_AREF.txt,2151,0.338943,0.345999,0.350997,0.358056,0.365986,0.372269,0.377017,0.380037,0.382723,0.38658,0.390526,0.394386,0.397302,0.399256,0.400562,0.401461,0.401914,0.401815,0.401718,0.400832,0.40012,0.399562,0.398336,0.397387,0.396803,0.396308,0.396017,0.39607,0.396682,0.39737,0.398405,0.399414,0.400414,0.401218,0.401943,0.402317,0.402482,0.402499,0.402322,0.402017,0.40167,0.401506,0.401367,0.40111,0.401044,0.40091,0.400712,0.400522,0.400346,0.400164,0.399875,0.399564,0.399218,0.398647,0.398225,0.397876,0.397271,0.396782,0.396223,0.39567,0.39502,0.394896,0.394737,0.394504,0.394243,0.394258,0.394433,0.394737,0.394856,0.395131,0.394908,0.395239,0.395231,0.395407,0.395632,0.395696,0.396103,0.39648,0.396906,0.397556,0.398045,0.398566,0.399158,0.399764,0.400193,0.400684,0.401541,0.402109,0.402769,0.403541,0.404319,0.404876,0.405303,0.406031,0.405657,0.404484,0.404571,0.40689,0.408859,0.410003,0.411293,0.412301,0.413347,0.414516,0.415766,0.416968,0.417875,0.419072,0.420501,0.421449,0.422339,0.423126,0.424117,0.425321,0.426026,0.426982,0.427773,0.428367,0.42902,0.429663,0.429859,0.429872,0.430368,0.430908,0.431618,0.431943,0.432351,0.432395,0.432802,0.43279,0.433056,0.433166,0.433451,0.433796,0.433927,0.433953,0.434096,0.434361,0.434362,0.434813,0.434472,0.433934,0.431645,0.429777,0.429094,0.429861,0.430691,0.431386,0.431749,0.431849,0.432696,0.433546,0.434247,0.43464,0.435641,0.436379,0.437108,0.438297,0.438529,0.439083,0.439816,0.440066,0.440109,0.440455,0.440101,0.439833,0.439216,0.436773,0.43545,0.433013,0.431775,0.431639,0.432276,0.431825,0.430583,0.429119,0.428154,0.42805,0.427831,0.426733,0.426492,0.42454,0.42214,0.419417,0.418872,0.420334,0.422267,0.423673,0.424965,0.425674,0.426406,0.426203,0.426189,0.425891,0.425616,0.4249,0.423962,0.423904,0.423853,0.425444
Metallic_Iron,7.874,splib07b_IronPowder_SA-209309_325mesh_ASDFRa_AREF.txt,2151,0.115578,0.116918,0.118517,0.120016,0.121281,0.122461,0.12356,0.124463,0.124975,0.125385,0.125824,0.12615,0.126478,0.12671,0.127014,0.127356,0.127751,0.128192,0.128596,0.129014,0.129466,0.129718,0.130342,0.130874,0.131343,0.131901,0.132511,0.133125,0.133998,0.134417,0.135037,0.13568,0.136333,0.137008,0.137675,0.138352,0.139039,0.139705,0.140445,0.141163,0.141961,0.142847,0.143772,0.144709,0.145686,0.146658,0.14757,0.148464,0.149395,0.150312,0.151188,0.152045,0.152875,0.153684,0.154552,0.155345,0.156197,0.157713,0.158182,0.158732,0.159789,0.160545,0.161474,0.162038,0.162868,0.16388,0.164509,0.165322,0.166186,0.167018,0.167737,0.168583,0.169322,0.170106,0.170725,0.1715,0.172272,0.172896,0.173648,0.174388,0.175219,0.175907,0.176572,0.177303,0.178044,0.178672,0.179379,0.180105,0.180776,0.181401,0.182147,0.182864,0.183649,0.184471,0.185273,0.186041,0.186795,0.18759,0.188327,0.189005,0.189613,0.190151,0.19061,0.191125,0.191724,0.192484,0.193349,0.194197,0.194984,0.195805,0.19674,0.19767,0.198515,0.199294,0.200092,0.200885,0.201629,0.202417,0.203188,0.204013,0.20491,0.205738,0.206607,0.207587,0.208483,0.209368,0.210149,0.210884,0.211566,0.212282,0.212997,0.213821,0.214609,0.215189,0.215999,0.216625,0.217223,0.21793,0.218497,0.219158,0.219821,0.220537,0.221082,0.221492,0.221899,0.222309,0.22246,0.222686,0.222906,0.223153,0.223531,0.223988,0.224631,0.225377,0.226468,0.227278,0.228266,0.229316,0.230313,0.231534,0.232554,0.233562,0.234551,0.235404,0.236146,0.237044,0.237612,0.238052,0.238827,0.239247,0.240012,0.240659,0.241168,0.241274,0.241998,0.242712,0.243478,0.24407,0.244578,0.245183,0.245676,0.246408,0.24721,0.247879,0.248487,0.248965,0.249148,0.249539,0.249765,0.250176,0.250449,0.25091,0.250804,0.251261,0.251189,0.251322,0.251828,0.251761,0.253151,0.254344
Pyrite_Sulfide,5.01,splib07b_Pyrite_GDS483.c_30-60um_NIC4cdb_RREF.txt,3322,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.058767,0.059291,0.060308,0.061271,0.062287,0.063455,0.064726,0.066189,0.067715,0.069329,0.070963,0.072518,0.073969,0.075353,0.07665,0.077761,0.078874,0.079943,0.080875,0.081842,0.08273,0.083506,0.084146,0.084705,0.085227,0.085694,0.086032,0.086329,0.08651,0.086619,0.08663,0.086426,0.086071,0.085684,0.0851,0.084411,0.083592,0.08268,0.081687,0.080662,0.079608,0.078529,0.077465,0.076429,0.075386,0.074366,0.073468,0.072636,0.071797,0.071236,0.070916,0.070709,0.07059,0.070501,0.070577,0.070721,0.071071,0.071626,0.072326,0.072917,0.073349,0.073937,0.074458,0.075012,0.075648,0.076167,0.076682,0.077142,0.077593,0.078067,0.078548,0.0791,0.079509,0.079667,0.079827,0.080529,0.081163,0.081585,0.082041,0.082304,0.082521,0.082716,0.082874,0.082982,0.083121,0.083319,0.083444,0.083806,0.084455,0.084892,0.085064,0.084579,0.08187,0.077875,0.075291,0.073042,0.070441,0.065354,0.059249,0.052748,0.046133,0.039458,0.03321,0.028209,0.024957,0.022756,0.020976,0.019594,0.018601,0.017878,0.017205,0.016592,0.016333,0.016891,0.018226,0.019772,0.02129,0.022759,0.024202,0.025647,0.027078,0.028485,0.029939,0.031521,0.033201,0.034898,0.036593,0.038238,0.039882,0.041604,0.043174,0.044759
